"Song Name","Album Type"
Udaarian,compilation
Kaash,compilation
"Mann Bharrya",album
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
Kaash,compilation
"True Love",compilation
"Mann Bharrya",album
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
Kaash,compilation
"True Love",compilation
"Mann Bharrya",album
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
Kaash,compilation
"True Love",compilation
"Mann Bharrya",album
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
Kaash,compilation
"Kahani (From "Kahani"")"",compilation
"True Love",compilation
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
"Kahani (From "Kahani"")"",compilation
Kaash,compilation
"True Love",compilation
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
"Kahani (From "Kahani"")"",compilation
Kaash,compilation
"True Love",compilation
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
Heerey,album
Ishqaa,album
"Pyar Paun to Pehlan",album
Udaarian,compilation
"Kahani (From "Kahani"")"",compilation
Kaash,compilation
"True Love",compilation
"Zubaan (From "Manje Bistre 2"")"",compilation
Zindagi,album
"Rabba Ve",album
"Love Like Me",album
Bewafaai,album
Proposal,album
Kasam,compilation
"Dil Taan Pagal-Je Tu Na (From "T-Series Mixtape Punjabi"")"",compilation
Heerey,album
