Artists,total_songs
"Kumar Rishi",8
Nikk,8
Kaka,5
"Satinder Sartaaj",8
"Shirley Setia",8
"Nachhatar Gill",8
"Prem Dhillon",8
"B Praak",49
"Sukh-E Muzical Doctorz",8
"Harman Hundal",16
"Ricky Khan",8
Davy,8
"Namr Gill",8
"Amrinder Gill",16
"Sheera Jasvir",8
"Sucha Yaar",8
"Ammy Virk",8
"Abhishek Rawal",8
Akhil,31
"Miss Pooja",8
"Himmat Sandhu",8
"Kay Vee Singh",8
"Jassa Dhillon",8
Akull,8
"Jass Manak",16
"Varinder Brar",8
"Prabh Gill",15
Jaani,8
"Lovie Virk",8
"Lakhi Ghuman",8
"Mehtab Virk",8
"Real Boss",8
"Hashmat Sultana",8
"Labh Heera",7
"Rupal J",7
"Jack Love",6
"Chandra Brar",5
"Lo Jill",4
