"Song Name",Popularity,popularity_rank
"Distance Love",70,1
"Gal Karke",64,2
"Gal Karke",64,2
"Vail (feat. Nimrat Khaira & Shree Brar)",61,4
"Vail (feat. Nimrat Khaira & Shree Brar)",61,4
"Vail (feat. Nimrat Khaira & Shree Brar)",61,4
"Temporary pyar",59,7
"Temporary pyar",59,7
"Temporary pyar",59,7
"Temporary pyar",59,7
"Temporary pyar",59,7
Beliya,58,12
Beliya,58,12
Beliya,58,12
Beliya,58,12
Beliya,58,12
Beliya,58,12
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"In Love Again",54,18
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Bewafai Kar Gaya - From "Lekh"""",53,26
"Mann Bharrya",52,33
"Love Like Me",52,33
"Mann Bharrya",52,33
"Love Like Me",52,33
"Mann Bharrya",52,33
"Love Like Me",52,33
"Mann Bharrya",52,33
"Love Like Me",52,33
"Love Like Me",52,33
"Love Like Me",52,33
"Love Like Me",52,33
"Love Like Me",52,33
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
"Rabba Ve",51,45
Chaal,47,53
Chaal,47,53
Chaal,47,53
Chaal,47,53
Chaal,47,53
Chaal,47,53
Chaal,47,53
Chaal,47,53
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",46,61
Relation,46,61
Paagla,46,61
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
Zindagi,45,84
Darling,45,84
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Silent Love",44,100
Heerey,44,100
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Mob N Love",42,116
"Pehla Valentine",42,116
Proposal,42,116
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Daring Love",41,140
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Breakup Mashup",40,148
"Fuck Love",40,148
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"Ikk Munda 2 - Waiting For Love",39,164
"Romantic Love Mashup (Best of love music)",39,164
"Pyar Karda - From "Lover"""",39,164
"Bewafai Kar Gaya",39,164
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
"I Need Love",38,196
"Romantic Rewind",38,196
"Romantic Mashup",38,196
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Pyar Paun to Pehlan",37,220
Soulmate,37,220
"Love Forever",37,220
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Punjabi Valentine Mashup 2022",36,243
Feelingaa,36,243
"Intense Love",36,243
"Marke - From "Lover"""",36,243
Kasam,36,243
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
"Punjab Bolda",35,281
Ishqaa,35,281
"Valentine Mashup 2022",35,281
"Punjab Bolda",35,281
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Intense Love",33,298
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Intense Love",33,298
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33,298
"Silent Love",33,298
"Intense Love",33,298
