"Song Name",Popularity
"True Love",11
"True Love",11
"True Love",11
"Kahani (From "Kahani"")"",11
"True Love",11
"Kahani (From "Kahani"")"",11
"True Love",11
"Kahani (From "Kahani"")"",11
"True Love",11
"Kahani (From "Kahani"")"",11
"True Love",11
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
"Zubaan (From "Manje Bistre 2"")"",18
Kaash,19
Kaash,19
Kaash,19
Kaash,19
Kaash,19
Kaash,19
Kaash,19
Kaash,19
Love,22
Love,22
Love,22
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Love Mix Remix Mashup",25
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
"Valentine Mashup 2020",27
Bewafaai,29
Bewafaai,29
Bewafaai,29
Bewafaai,29
Bewafaai,29
Bewafaai,29
Bewafaai,29
Bewafaai,29
Udaarian,31
Udaarian,31
Udaarian,31
Udaarian,31
Udaarian,31
Udaarian,31
Udaarian,31
Udaarian,31
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Best Hindi Motivational Poetry 2022",32
"The Ultimate Love Mashup - DJ Kiran Kamath",32
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Intense Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Intense Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Intense Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Intense Love",33
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",33
"Silent Love",33
"Intense Love",33
"Dil Taan Pagal-Je Tu Na (From "T-Series Mixtape Punjabi"")"",33
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
Ishqaa,35
"Valentine Mashup 2022",35
"Punjab Bolda",35
Ishqaa,35
"Valentine Mashup 2022",35
"Punjab Bolda",35
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
"Punjabi Valentine Mashup 2022",36
Feelingaa,36
"Intense Love",36
"Marke - From "Lover"""",36
Kasam,36
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
Soulmate,37
"Love Forever",37
"Pyar Paun to Pehlan",37
