"Song Name","Released Dates"
"Best Hindi Motivational Poetry 2022",2022-03-07
Relation,2019-08-30
"Temporary pyar",2021-09-04
"Distance Love",2021-10-08
"Gal Karke",2019-04-15
Udaarian,2019-12-20
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
Kaash,2019-12-20
"Mob N Love",2022-04-17
"Mann Bharrya",2019-10-22
"Punjabi Valentine Mashup 2022",2022-02-14
"In Love Again",2021-02-19
"Zubaan (From "Manje Bistre 2"")"",2019-12-20
"Silent Love",2022-01-02
"Ikk Munda 2 - Waiting For Love",2021-07-04
"Vail (feat. Nimrat Khaira & Shree Brar)",2020-06-08
"Rabba Ve",2019-05-06
"I Need Love",2022-03-04
Darling,2021-11-19
"Breakup Mashup",2019-08-01
"Romantic Love Mashup (Best of love music)",2022-08-07
"Romantic Rewind",2022-02-09
"Bewafai Kar Gaya - From "Lekh"""",2022-03-20
"Romantic Mashup",2020-02-13
"Pehla Valentine",2021-04-30
"Valentine Mashup 2022",2022-02-14
Feelingaa,2019-12-23
"Love Like Me",2021-03-22
Beliya,2022-03-25
Soulmate,2021-09-07
"Pyar Karda - From "Lover"""",2022-05-26
"Daring Love",2019-11-01
"Valentine Mashup 2020",2020-02-11
"Marke - From "Lover"""",2022-06-27
"Love Mix Remix Mashup",2022-04-09
"The Ultimate Love Mashup - DJ Kiran Kamath",2022-02-08
"Bewafai Kar Gaya",2022-03-25
Bewafaai,2019-10-22
Chaal,2021-01-06
"Love Forever",2021-11-24
"Fuck Love",2022-03-15
Paagla,2021-06-26
Kasam,2022-06-29
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",2018-04-19
Ishqaa,2019-02-13
"Pyar Paun to Pehlan",2020-07-18
"Best Hindi Motivational Poetry 2022",2022-03-07
Relation,2019-08-30
"Temporary pyar",2021-09-04
"Gal Karke",2019-04-15
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
Udaarian,2019-12-20
Kaash,2019-12-20
"True Love",2019-12-20
"Mob N Love",2022-04-17
"Mann Bharrya",2019-10-22
"Punjabi Valentine Mashup 2022",2022-02-14
"In Love Again",2021-02-19
"Zubaan (From "Manje Bistre 2"")"",2019-12-20
"Silent Love",2022-01-02
"Ikk Munda 2 - Waiting For Love",2021-07-04
"Vail (feat. Nimrat Khaira & Shree Brar)",2020-06-08
"Rabba Ve",2019-05-06
"I Need Love",2022-03-04
Darling,2021-11-19
"Breakup Mashup",2019-08-01
"Romantic Love Mashup (Best of love music)",2022-08-07
"Romantic Rewind",2022-02-09
"Bewafai Kar Gaya - From "Lekh"""",2022-03-20
"Romantic Mashup",2020-02-13
"Pehla Valentine",2021-04-30
"Valentine Mashup 2022",2022-02-14
Feelingaa,2019-12-23
"Love Like Me",2021-03-22
Beliya,2022-03-25
Soulmate,2021-09-07
"Pyar Karda - From "Lover"""",2022-05-26
"Daring Love",2019-11-01
"Valentine Mashup 2020",2020-02-11
"Marke - From "Lover"""",2022-06-27
"Love Mix Remix Mashup",2022-04-09
"The Ultimate Love Mashup - DJ Kiran Kamath",2022-02-08
"Bewafai Kar Gaya",2022-03-25
Bewafaai,2019-10-22
Chaal,2021-01-06
"Love Forever",2021-11-24
"Fuck Love",2022-03-15
Paagla,2021-06-26
Kasam,2022-06-29
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",2018-04-19
Ishqaa,2019-02-13
"Pyar Paun to Pehlan",2020-07-18
"Best Hindi Motivational Poetry 2022",2022-03-07
"Temporary pyar",2021-09-04
Relation,2019-08-30
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
Udaarian,2019-12-20
Kaash,2019-12-20
"True Love",2019-12-20
"Mob N Love",2022-04-17
"Mann Bharrya",2019-10-22
"Punjabi Valentine Mashup 2022",2022-02-14
"In Love Again",2021-02-19
