"Song Name","Released Dates"
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Vail (feat. Nimrat Khaira & Shree Brar)",2020-06-08
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Vail (feat. Nimrat Khaira & Shree Brar)",2020-06-08
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Vail (feat. Nimrat Khaira & Shree Brar)",2020-06-08
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Punjab Bolda",2020-12-08
"Pyar Paun to Pehlan",2020-07-18
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",2020-02-05
"Romantic Mashup",2020-02-13
"Valentine Mashup 2020",2020-02-11
"Punjab Bolda",2020-12-08
