"Song Name","Album Type"
"Best Hindi Motivational Poetry 2022",single
Relation,single
"Temporary pyar",single
"Distance Love",single
"Gal Karke",single
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",single
"Mob N Love",single
"Punjabi Valentine Mashup 2022",single
"In Love Again",single
"Silent Love",single
"Silent Love",single
"Ikk Munda 2 - Waiting For Love",single
"Vail (feat. Nimrat Khaira & Shree Brar)",single
"I Need Love",single
Darling,single
"Breakup Mashup",single
"Romantic Love Mashup (Best of love music)",single
"Romantic Rewind",single
"Bewafai Kar Gaya - From "Lekh"""",single
"Romantic Mashup",single
"Pehla Valentine",single
"Valentine Mashup 2022",single
Feelingaa,single
Beliya,single
Soulmate,single
"Pyar Karda - From "Lover"""",single
"Daring Love",single
"Valentine Mashup 2020",single
"Marke - From "Lover"""",single
"Love Mix Remix Mashup",single
"The Ultimate Love Mashup - DJ Kiran Kamath",single
"Bewafai Kar Gaya",single
Chaal,single
"Love Forever",single
"Fuck Love",single
Paagla,single
"Rabb Khair Kare (From "Daana Paani"" Soundtrack)"",single
"Best Hindi Motivational Poetry 2022",single
Relation,single
"Temporary pyar",single
"Gal Karke",single
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",single
"Mob N Love",single
"Punjabi Valentine Mashup 2022",single
"In Love Again",single
"Silent Love",single
"Silent Love",single
"Ikk Munda 2 - Waiting For Love",single
"Vail (feat. Nimrat Khaira & Shree Brar)",single
"I Need Love",single
Darling,single
"Breakup Mashup",single
"Romantic Love Mashup (Best of love music)",single
"Romantic Rewind",single
"Bewafai Kar Gaya - From "Lekh"""",single
"Romantic Mashup",single
"Pehla Valentine",single
"Valentine Mashup 2022",single
Feelingaa,single
Beliya,single
Soulmate,single
"Pyar Karda - From "Lover"""",single
"Daring Love",single
"Valentine Mashup 2020",single
"Marke - From "Lover"""",single
"Love Mix Remix Mashup",single
"The Ultimate Love Mashup - DJ Kiran Kamath",single
"Bewafai Kar Gaya",single
Chaal,single
"Love Forever",single
